user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase
1,33.0,Female,Desktop,14.01,7,3,3,1,1,1,15.28,46.05,1
2,37.0,Male,Desktop,4.16,5,1,2,0,1,0,21.61,34.47,1
3,30.0,Female,Tablet,18.06,19,9,3,0,0,1,22.34,31.85,1
4,37.0,Male,Mobile,9.73,6,5,1,1,1,1,18.68,56.09,1
5,18.0,Female,Mobile,2.72,2,0,0,1,0,0,5.9,79.88,0
6,42.0,Male,Mobile,5.14,3,1,0,0,0,0,6.86,70.94,0
7,36.0,Female,Mobile,7.92,1,0,0,1,0,0,6.44,84.86,0
8,34.0,Male,Mobile,8.72,8,5,2,0,0,1,12.42,71.84,1
9,40.0,Male,Mobile,19.81,17,7,4,0,1,1,30.02,20.83,1
10,23.0,Male,Mobile,17.34,12,9,8,1,0,1,31.56,25.11,1
11,57.0,Male,Mobile,4.28,1,0,0,0,0,0,7.15,71.67,1
12,36.0,Female,Mobile,11.13,8,4,2,0,1,1,16.5,70.58,1
13,36.0,Male,Tablet,20.07,11,7,8,0,0,1,27.6,16.82,1
14,28.0,Male,Desktop,5.5,1,0,0,0,1,0,2.08,80.7,0
15,38.0,Female,Desktop,2.01,2,1,0,1,1,0,2.2,70.42,1
16,51.0,Female,Desktop,3.23,1,1,0,0,1,0,5.88,90.37,0
17,48.0,Male,Mobile,13.75,10,3,2,1,0,1,14.99,49.12,1
18,46.0,Female,Desktop,9.98,8,4,3,0,0,1,15.74,55.62,1
19,43.0,Female,Desktop,12.04,5,4,2,1,0,1,15.05,47.37,1
20,34.0,Male,Mobile,9.87,7,2,2,1,1,0,19.0,39.32,1
21,23.0,Male,Desktop,29.51,13,8,5,1,1,1,19.56,14.68,1
22,35.0,Male,Mobile,7.24,3,1,0,1,1,0,3.99,89.27,1
23,35.0,Male,Mobile,9.88,6,5,2,0,0,1,11.26,64.39,1
24,48.0,Male,Mobile,8.34,9,4,1,1,0,1,17.86,45.25,1
25,41.0,Female,Desktop,9.5,10,2,3,0,0,0,14.42,36.81,1
26,54.0,Female,Mobile,28.05,19,10,7,0,1,1,28.81,36.82,1
27,49.0,Male,Mobile,6.84,2,0,0,0,1,0,6.86,99.2,1
28,33.0,Male,Mobile,10.88,10,4,3,1,1,1,16.53,57.91,1
29,20.0,Male,Mobile,14.37,9,3,3,1,1,1,18.33,53.06,1
30,51.0,Male,Tablet,4.87,1,0,0,0,1,0,2.9,89.04,0
31,51.0,Female,Desktop,29.45,19,13,4,1,0,1,26.63,8.41,1
32,24.0,Female,Desktop,5.91,3,0,0,0,0,0,6.92,90.39,1
33,53.0,Male,Mobile,3.65,2,1,0,1,0,0,2.03,96.49,0
34,41.0,Female,Mobile,6.07,3,4,4,0,1,1,12.42,79.82,1
35,39.0,Female,Mobile,14.39,4,1,2,1,0,0,14.21,29.92,1
36,54.0,Male,Mobile,28.07,12,10,3,0,1,1,23.37,32.11,1
37,51.0,Male,Mobile,17.7,10,5,3,1,0,1,16.93,68.65,1
38,44.0,Female,Mobile,6.17,2,0,0,1,0,0,7.41,84.19,0
39,42.0,Female,Mobile,19.62,19,10,5,1,0,1,16.09,12.56,1
40,44.0,Female,Mobile,15.37,10,3,1,0,1,1,11.19,56.8,1
41,33.0,Female,Mobile,5.05,1,1,0,0,0,0,5.27,74.06,0
42,37.0,Male,Mobile,12.72,9,3,3,1,0,1,12.41,36.24,1
43,28.0,Female,Desktop,5.65,4,1,0,1,0,0,5.43,87.1,0
44,34.0,Male,Mobile,5.94,5,3,6,1,1,1,17.65,30.27,1
45,34.0,Female,Desktop,13.67,5,4,1,1,0,1,9.94,48.99,1
46,31.0,Female,Desktop,26.14,13,10,7,1,1,1,23.44,35.02,1
47,39.0,Male,Desktop,12.86,6,2,3,0,0,0,8.26,46.84,1
48,34.0,Male,Mobile,13.17,9,2,3,0,0,0,10.55,57.26,0
49,43.0,Female,Mobile,10.65,6,5,3,1,0,1,15.67,46.16,1
50,21.0,Female,Mobile,5.76,3,1,0,1,0,0,3.84,91.23,0
51,36.0,Male,Tablet,5.25,4,3,2,1,0,1,7.65,57.65,1
52,39.0,Female,Desktop,25.78,16,7,3,1,1,1,30.98,14.61,1
53,34.0,Male,Mobile,8.16,6,2,5,1,1,0,22.26,77.08,1
54,36.0,Male,Mobile,10.67,4,4,3,1,0,1,23.86,48.46,1
55,22.0,Female,Mobile,11.75,7,2,2,1,1,0,14.45,53.44,1
56,41.0,Female,Mobile,12.82,9,5,3,1,1,1,24.68,55.77,1
57,44.0,Male,Desktop,5.6,2,1,0,1,0,0,7.2,95.84,1
58,42.0,Male,Mobile,2.1,2,1,0,0,0,0,6.0,95.89,0
59,48.0,Male,Mobile,5.79,3,0,0,1,1,0,6.51,94.2,0
60,40.0,Male,Mobile,8.47,7,2,2,0,0,0,15.8,65.02,1
